AGR,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
I. DOANH THU HOẠT ĐỘNG,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,,19,32
a. Lãi bán các tài sản tài chính,,,17,11
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,,,1,20
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",,,0,1
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,12,7
1.3. Lãi từ các khoản cho vay và phải thu,,,41,42
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),,,3,3
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,
1.6. Doanh thu môi giới chứng khoán,,,14,15
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",,,,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",,,3,1
- Doanh thu quản lý danh mục đầu tư cho người uỷ thác đầu tư,,,,
1.8. Doanh thu hoạt động tư vấn,,,1,0
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,
1.10. Doanh thu lưu ký chứng khoán,,,7,4
- Doanh thu cho thuê sử dụng tài sản,,,,
1.11. Thu nhập hoạt động khác,,,0,0
Các khoản giảm trừ doanh thu,,,,
Cộng doanh thu hoạt động (01->11),,,100,104
Doanh thu thuần,,,100,104
II. CHI PHÍ HOẠT ĐỘNG,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),,,7,26
a. Lỗ bán các tài sản tài chính,,,5,6
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,,,2,20
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),,,0,0
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,8,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,0,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,-15,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,
2.6. Chi phí hoạt động tự doanh,,,,
2.7. Chi phí môi giới chứng khoán,,,6,7
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán",,,,
2.9. Chi phí tư vấn,,,0,0
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,
2.11. Chi phí lưu ký chứng khoán,,,1,1
2.12. Chi phí khác,,,-2,4
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,,,,
- Chi phí dự phòng chứng khoán,,,,
Cộng chi phí hoạt động (21->33),,,4,38
Lợi nhuận gộp của hoạt động kinh doanh,,,97,66
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,,,
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",,,0,1
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,
3.4. Doanh thu khác về đầu tư,,,,
Cộng doanh thu hoạt động tài chính (41->44),,,0,1
IV. CHÍ PHÍ TÀI CHÍNH,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,,,,
4.2. Chi phí lãi vay,,,8,9
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,
4.4. Chi phí đầu tư khác,,,,
Cộng chi phí tài chính (51->54),,,8,9
V. CHI PHÍ BÁN HÀNG,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,,,34,19
VII. KẾT QUẢ HOẠT ĐỘNG,,,55,40
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,
8.1. Thu nhập khác,,,0,0
8.2. Chi phí khác,,,0,0
Cộng kết quả hoạt động khác,,,0,0
"Lãi/lỗ từ công ty liên doanh, liên kết",,,,
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,,54,40
9.1. Lợi nhuận đã thực hiện,,,56,40
9.2. Lợi nhuận chưa thực hiện,,,-1,0
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,,,11,8
10.1. Chi phí thuế TNDN hiện hành,,,11,8
10.2. Chi phí thuế TNDN hoãn lại,,,,
XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,,43,32
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,,,43,32
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",,,,
11.3. Lợi nhuận thuần phân bổ cho lợi ích cổ đông không kiểm soát,,,,
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,,,,
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,,,-24,-2
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",,,,
Tổng thu nhập toàn diện,,,-24,-2
Thu nhập toàn diện phân bổ cho chủ sở hữu,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),,,200,151
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),,,,
